Date,Parking
9/24/2016,125
9/24/2016,125
9/24/2016,121
9/24/2016,119
9/24/2016,120
9/25/2016,120
9/25/2016,120
9/25/2016,120
9/25/2016,120
9/25/2016,120
9/25/2016,122
9/25/2016,119
9/25/2016,118
9/25/2016,118
9/25/2016,122
9/25/2016,121
9/25/2016,123
9/25/2016,126
9/25/2016,126
9/25/2016,130
9/25/2016,125
9/25/2016,116
9/25/2016,117
9/25/2016,110
9/25/2016,112
9/25/2016,115
9/25/2016,117
9/25/2016,117
9/25/2016,117
9/26/2016,117
9/26/2016,117
9/26/2016,118
9/26/2016,118
9/26/2016,118
9/26/2016,119
9/26/2016,123
9/26/2016,147
9/26/2016,187
9/26/2016,226
9/26/2016,247
9/26/2016,270
9/26/2016,266
9/26/2016,273
9/26/2016,276
9/26/2016,267
9/26/2016,237
9/26/2016,218
9/26/2016,234
9/26/2016,239
9/26/2016,211
9/26/2016,136
9/26/2016,123
9/26/2016,122
9/27/2016,123
9/27/2016,122
9/27/2016,122
9/27/2016,121
9/27/2016,121
9/27/2016,121
9/27/2016,122
9/27/2016,124
9/27/2016,124
9/27/2016,124
9/27/2016,124
9/27/2016,122
9/27/2016,122
9/27/2016,122
9/27/2016,121
9/27/2016,120
9/27/2016,120
9/27/2016,120
9/27/2016,120
9/27/2016,120
9/27/2016,120
9/27/2016,120
9/27/2016,119
9/27/2016,119
9/28/2016,118
9/28/2016,118
9/28/2016,118
9/28/2016,118
9/28/2016,118
9/28/2016,118
9/28/2016,118
9/28/2016,117
9/28/2016,120
9/28/2016,127
9/28/2016,132
9/28/2016,134
9/28/2016,136
9/28/2016,137
9/28/2016,139
9/28/2016,140
9/28/2016,133
9/28/2016,126
9/28/2016,121
9/28/2016,116
9/28/2016,118
9/28/2016,118
9/28/2016,120
9/28/2016,119
9/29/2016,119
9/29/2016,117
9/29/2016,117
9/29/2016,117
9/29/2016,117
9/29/2016,118
9/29/2016,126
9/29/2016,151
9/29/2016,185
9/29/2016,215
9/29/2016,235
9/29/2016,237
9/29/2016,236
9/29/2016,238
9/29/2016,239
9/29/2016,233
9/29/2016,223
9/29/2016,204
9/29/2016,225
9/29/2016,223
9/29/2016,204
9/29/2016,126
9/29/2016,112
9/29/2016,110
9/30/2016,109
9/30/2016,109
9/30/2016,109
9/30/2016,109
9/30/2016,110
9/30/2016,111
9/30/2016,115
9/30/2016,130
9/30/2016,179
9/30/2016,194
9/30/2016,207
9/30/2016,213
9/30/2016,221
9/30/2016,227
9/30/2016,225
9/30/2016,215
9/30/2016,194
9/30/2016,153
9/30/2016,148
9/30/2016,142
9/30/2016,136
9/30/2016,108
9/30/2016,103
9/30/2016,103
10/1/2016,103
10/1/2016,103
10/1/2016,104
10/1/2016,104
10/1/2016,104
10/1/2016,106
10/1/2016,108
10/1/2016,115
10/1/2016,152
10/1/2016,192
10/1/2016,194
10/1/2016,175
10/1/2016,163
10/1/2016,170
10/1/2016,172
10/1/2016,169
10/1/2016,133
10/1/2016,117
10/1/2016,110
10/1/2016,107
10/1/2016,106
10/1/2016,104
10/1/2016,100
10/1/2016,97
10/2/2016,99
10/2/2016,98
10/2/2016,98
10/2/2016,97
10/2/2016,97
10/2/2016,97
10/2/2016,96
10/2/2016,108
10/2/2016,119
10/2/2016,122
10/2/2016,123
10/2/2016,122
10/2/2016,126
10/2/2016,130
10/2/2016,133
10/2/2016,134
10/2/2016,112
10/2/2016,109
10/2/2016,103
10/2/2016,103
10/2/2016,96
10/2/2016,98
10/2/2016,99
10/2/2016,101
10/3/2016,103
10/3/2016,103
10/3/2016,103
10/3/2016,103
10/3/2016,103
10/3/2016,105
10/3/2016,111
10/3/2016,131
10/3/2016,175
10/3/2016,201
10/3/2016,216
10/3/2016,232
10/3/2016,237
10/3/2016,239
10/3/2016,239
10/3/2016,227
10/3/2016,212
10/3/2016,188
10/3/2016,202
10/3/2016,205
10/3/2016,207
10/3/2016,128
10/3/2016,115
10/3/2016,110
10/4/2016,110
10/4/2016,109
10/4/2016,109
10/4/2016,109
10/4/2016,109
10/4/2016,109
10/4/2016,115
10/4/2016,131
10/4/2016,174
10/4/2016,188
10/4/2016,203
10/4/2016,217
10/4/2016,223
10/4/2016,228
10/4/2016,225
10/4/2016,216
10/4/2016,202
10/4/2016,180
10/4/2016,201
10/4/2016,199
10/4/2016,198
10/4/2016,119
10/4/2016,112
10/4/2016,111
10/5/2016,110
10/5/2016,110
10/5/2016,110
10/5/2016,110
10/5/2016,109
10/5/2016,110
10/5/2016,113
10/5/2016,132
10/5/2016,180
10/5/2016,199
10/5/2016,210
10/5/2016,220
10/5/2016,223
10/5/2016,226
10/5/2016,222
10/5/2016,211
10/5/2016,203
10/5/2016,181
10/5/2016,201
10/5/2016,195
10/5/2016,189
10/5/2016,121
10/5/2016,105
10/5/2016,105
10/6/2016,107
10/6/2016,107
10/6/2016,107
